open,high,low,close,volume,datetime,date,ticker
9.8,9.8,9.8,9.8,1000,2020-06-29 15:47:00,2020-06-29,CGRO
9.82,9.82,9.82,9.82,144000,2020-06-30 12:56:00,2020-06-30,CGRO
9.91,9.91,9.9,9.9,539,2020-07-01 14:28:00,2020-07-01,CGRO
9.92,9.92,9.92,9.92,458,2020-07-02 14:21:00,2020-07-02,CGRO
10.25,10.25,10.25,10.25,132,2020-07-08 09:30:00,2020-07-08,CGRO
10.0,10.0,10.0,10.0,758,2020-07-08 09:31:00,2020-07-08,CGRO
9.9999,9.9999,9.9999,9.9999,200,2020-07-08 09:46:00,2020-07-08,CGRO
9.855,9.855,9.855,9.855,100,2020-07-08 13:10:00,2020-07-08,CGRO
9.8496,9.96,9.8496,9.96,200,2020-07-08 14:18:00,2020-07-08,CGRO
9.9598,9.96,9.9113,9.9113,1370,2020-07-08 14:24:00,2020-07-08,CGRO
9.96,9.96,9.9599,9.9599,200,2020-07-08 14:26:00,2020-07-08,CGRO
9.96,9.96,9.96,9.96,100,2020-07-08 15:40:00,2020-07-08,CGRO
9.96,9.96,9.9599,9.9599,380,2020-07-08 15:48:00,2020-07-08,CGRO
9.98,9.98,9.9799,9.9799,210,2020-07-08 15:51:00,2020-07-08,CGRO
9.98,9.98,9.98,9.98,744,2020-07-09 09:30:00,2020-07-09,CGRO
9.875,9.875,9.875,9.875,400,2020-07-09 09:37:00,2020-07-09,CGRO
10.0,10.0,9.9962,9.9962,2300,2020-07-09 09:38:00,2020-07-09,CGRO
9.865,9.865,9.865,9.865,300,2020-07-09 10:16:00,2020-07-09,CGRO
9.98,9.98,9.9799,9.9799,200,2020-07-09 10:53:00,2020-07-09,CGRO
9.96,9.96,9.9599,9.9599,330,2020-07-09 14:54:00,2020-07-09,CGRO
9.98,9.98,9.98,9.98,225,2020-07-10 09:30:00,2020-07-10,CGRO
10.1,10.1,10.1,10.1,404,2020-07-13 09:30:00,2020-07-13,CGRO
9.979,9.979,9.979,9.979,200,2020-07-13 09:52:00,2020-07-13,CGRO
9.911,9.911,9.91,9.91,600,2020-07-13 10:22:00,2020-07-13,CGRO
9.917,9.917,9.917,9.917,175,2020-07-13 11:47:00,2020-07-13,CGRO
9.94,9.94,9.94,9.94,100,2020-07-13 14:41:00,2020-07-13,CGRO
9.937999999999999,9.962,9.92,9.962,3100,2020-07-13 14:42:00,2020-07-13,CGRO
9.92,9.92,9.92,9.92,717,2020-07-13 14:53:00,2020-07-13,CGRO
9.95,9.95,9.95,9.95,100,2020-07-13 15:03:00,2020-07-13,CGRO
9.93,9.93,9.93,9.93,9981,2020-07-14 10:14:00,2020-07-14,CGRO
9.96,9.96,9.93,9.93,5000,2020-07-14 14:02:00,2020-07-14,CGRO
9.91,9.91,9.91,9.91,1680,2020-07-14 14:19:00,2020-07-14,CGRO
9.9624,9.9624,9.9624,9.9624,100,2020-07-14 14:55:00,2020-07-14,CGRO
9.9624,9.9624,9.9624,9.9624,100,2020-07-14 14:59:00,2020-07-14,CGRO
9.87,9.89,9.87,9.89,4000,2020-07-14 15:42:00,2020-07-14,CGRO
9.87,9.87,9.87,9.87,599,2020-07-14 15:43:00,2020-07-14,CGRO
9.8675,9.8675,9.8675,9.8675,1046,2020-07-14 15:55:00,2020-07-14,CGRO
9.882,9.882,9.882,9.882,558,2020-07-15 10:16:00,2020-07-15,CGRO
9.92,9.93,9.92,9.92,10000,2020-07-15 15:44:00,2020-07-15,CGRO
9.85,9.85,9.85,9.85,1000,2020-07-16 09:30:00,2020-07-16,CGRO
9.85,9.85,9.85,9.85,1000,2020-07-16 09:31:00,2020-07-16,CGRO
9.85,9.85,9.85,9.85,1000,2020-07-16 09:32:00,2020-07-16,CGRO
9.85,9.85,9.85,9.85,1000,2020-07-16 09:33:00,2020-07-16,CGRO
10.0,10.0,10.0,10.0,1000,2020-07-16 09:34:00,2020-07-16,CGRO
9.9344,9.9344,9.9344,9.9344,209,2020-07-16 10:16:00,2020-07-16,CGRO
9.97,9.97,9.97,9.97,100,2020-07-16 11:15:00,2020-07-16,CGRO
9.89,9.89,9.89,9.89,458,2020-07-16 12:35:00,2020-07-16,CGRO
9.92,9.92,9.92,9.92,100,2020-07-16 14:45:00,2020-07-16,CGRO
9.96,9.96,9.96,9.96,100,2020-07-16 15:23:00,2020-07-16,CGRO
9.9799,9.9799,9.9799,9.9799,100,2020-07-16 15:39:00,2020-07-16,CGRO
9.965,9.965,9.965,9.965,450,2020-07-17 09:55:00,2020-07-17,CGRO
9.93,9.93,9.9217,9.9217,450,2020-07-17 10:24:00,2020-07-17,CGRO
10.01,10.01,10.0,10.0,10000,2020-07-17 13:49:00,2020-07-17,CGRO
10.1,10.1,10.1,10.1,405,2020-07-20 09:30:00,2020-07-20,CGRO
9.9201,9.9201,9.9201,9.9201,300,2020-07-20 13:15:00,2020-07-20,CGRO
10.09,10.1,10.09,10.1,331,2020-07-20 15:21:00,2020-07-20,CGRO
10.0981,10.0981,9.94,9.94,600,2020-07-20 15:24:00,2020-07-20,CGRO
9.95,9.95,9.95,9.95,5500,2020-07-21 12:48:00,2020-07-21,CGRO
10.0,10.0,9.97,9.98,17970,2020-07-22 14:11:00,2020-07-22,CGRO
9.95,9.95,9.95,9.95,201,2020-07-22 14:12:00,2020-07-22,CGRO
9.95,9.95,9.95,9.95,125,2020-07-22 15:26:00,2020-07-22,CGRO
9.928,9.928,9.928,9.928,125,2020-07-22 15:33:00,2020-07-22,CGRO
9.95,9.95,9.95,9.95,100,2020-07-23 09:30:00,2020-07-23,CGRO
9.935,9.935,9.92,9.92,59000,2020-07-23 09:49:00,2020-07-23,CGRO
9.93,9.94,9.93,9.94,2822,2020-07-23 10:07:00,2020-07-23,CGRO
9.94,9.94,9.93,9.94,3500,2020-07-23 10:31:00,2020-07-23,CGRO
9.93,9.93,9.93,9.93,3500,2020-07-23 10:32:00,2020-07-23,CGRO
9.93,9.93,9.93,9.93,4700,2020-07-23 10:42:00,2020-07-23,CGRO
9.93,9.93,9.93,9.93,5110,2020-07-23 10:43:00,2020-07-23,CGRO
9.93,9.93,9.93,9.93,100,2020-07-23 10:49:00,2020-07-23,CGRO
9.95,9.95,9.95,9.95,161,2020-07-23 10:51:00,2020-07-23,CGRO
9.93,9.93,9.93,9.93,17400,2020-07-23 10:53:00,2020-07-23,CGRO
9.9,9.9,9.9,9.9,9230,2020-07-23 11:33:00,2020-07-23,CGRO
9.9,9.9,9.9,9.9,13778,2020-07-23 12:05:00,2020-07-23,CGRO
9.9,9.9,9.9,9.9,25000,2020-07-23 13:03:00,2020-07-23,CGRO
9.9,9.9,9.9,9.9,9787,2020-07-23 13:21:00,2020-07-23,CGRO
9.9,9.91,9.9,9.91,20700,2020-07-23 14:12:00,2020-07-23,CGRO
9.9,9.9,9.9,9.9,1900,2020-07-23 14:15:00,2020-07-23,CGRO
9.9,9.9,9.9,9.9,100,2020-07-23 14:16:00,2020-07-23,CGRO
9.88,9.89,9.88,9.88,25000,2020-07-23 14:27:00,2020-07-23,CGRO
9.9,9.9,9.9,9.9,24948,2020-07-23 15:50:00,2020-07-23,CGRO
9.97,9.97,9.97,9.97,100,2020-07-24 09:45:00,2020-07-24,CGRO
9.95,9.95,9.95,9.95,14433,2020-07-24 10:25:00,2020-07-24,CGRO
9.95,9.95,9.95,9.95,6200,2020-07-24 12:01:00,2020-07-24,CGRO
9.95,9.975,9.95,9.95,42100,2020-07-24 12:34:00,2020-07-24,CGRO
9.95,9.95,9.95,9.95,100,2020-07-24 12:36:00,2020-07-24,CGRO
9.95,9.95,9.95,9.95,100,2020-07-24 12:37:00,2020-07-24,CGRO
9.95,9.95,9.95,9.95,100,2020-07-24 13:06:00,2020-07-24,CGRO
9.95,9.95,9.95,9.95,100,2020-07-24 15:12:00,2020-07-24,CGRO
9.975,9.975,9.95,9.95,2000,2020-07-24 15:21:00,2020-07-24,CGRO
9.95,9.95,9.95,9.95,800,2020-07-24 15:22:00,2020-07-24,CGRO
9.975,9.975,9.975,9.975,100,2020-07-24 15:49:00,2020-07-24,CGRO
9.98,9.99,9.98,9.98,4500,2020-07-27 10:09:00,2020-07-27,CGRO
9.95,9.95,9.87,9.87,3910,2020-07-27 11:08:00,2020-07-27,CGRO
9.8701,9.8701,9.8701,9.8701,500,2020-07-27 12:22:00,2020-07-27,CGRO
9.91,9.91,9.91,9.91,500,2020-07-27 15:01:00,2020-07-27,CGRO
