open,high,low,close,volume,datetime,date,ticker
9.6,9.6,9.6,9.6,200,2020-06-02 09:41:00,2020-06-02,ZGYH
9.69,9.69,9.69,9.69,2000,2020-06-02 10:13:00,2020-06-02,ZGYH
9.73,9.73,9.73,9.73,8000,2020-06-02 10:17:00,2020-06-02,ZGYH
9.75,9.75,9.75,9.75,160,2020-06-08 12:21:00,2020-06-08,ZGYH
9.72,9.72,9.72,9.72,500,2020-06-10 15:24:00,2020-06-10,ZGYH
9.72,9.72,9.72,9.72,1000,2020-06-15 14:49:00,2020-06-15,ZGYH
9.73,9.73,9.73,9.73,400,2020-06-16 09:30:00,2020-06-16,ZGYH
9.73,9.73,9.73,9.73,600,2020-06-16 10:38:00,2020-06-16,ZGYH
9.73,9.73,9.73,9.73,200,2020-06-16 10:53:00,2020-06-16,ZGYH
9.73,9.73,9.73,9.73,200,2020-06-16 11:53:00,2020-06-16,ZGYH
9.75,9.75,9.75,9.75,1000,2020-06-16 15:54:00,2020-06-16,ZGYH
9.73,9.73,9.73,9.73,2300,2020-06-17 10:48:00,2020-06-17,ZGYH
9.74,9.74,9.72,9.7206,4600,2020-06-17 11:44:00,2020-06-17,ZGYH
9.72,9.7206,9.72,9.7206,5400,2020-06-17 11:49:00,2020-06-17,ZGYH
9.735,9.735,9.71,9.7107,4300,2020-06-17 12:28:00,2020-06-17,ZGYH
9.7,9.7009,9.7,9.7009,4000,2020-06-17 12:42:00,2020-06-17,ZGYH
9.7,9.7009,9.7,9.7009,9400,2020-06-17 14:18:00,2020-06-17,ZGYH
9.7,9.7,9.7,9.7,300,2020-06-17 15:11:00,2020-06-17,ZGYH
9.69,9.69,9.69,9.69,11000,2020-06-17 15:19:00,2020-06-17,ZGYH
9.75,9.77,9.68,9.77,18278,2020-06-18 10:05:00,2020-06-18,ZGYH
9.69,9.69,9.69,9.69,933,2020-06-18 10:13:00,2020-06-18,ZGYH
9.68,9.68,9.68,9.68,767,2020-06-18 10:14:00,2020-06-18,ZGYH
9.68,9.68,9.68,9.68,100,2020-06-18 10:30:00,2020-06-18,ZGYH
9.7,9.7,9.7,9.7,5000,2020-06-18 10:56:00,2020-06-18,ZGYH
9.7,9.7,9.7,9.7,186,2020-06-18 11:05:00,2020-06-18,ZGYH
9.68,9.68,9.68,9.68,833,2020-06-18 11:08:00,2020-06-18,ZGYH
9.68,9.68,9.68,9.68,7828,2020-06-18 14:58:00,2020-06-18,ZGYH
9.76,9.77,9.76,9.77,5000,2020-06-22 18:27:00,2020-06-22,ZGYH
9.73,9.73,9.73,9.73,500,2020-06-23 07:54:00,2020-06-23,ZGYH
9.75,9.75,9.75,9.75,300,2020-06-24 09:32:00,2020-06-24,ZGYH
9.73,9.73,9.73,9.73,5000,2020-06-24 09:46:00,2020-06-24,ZGYH
9.73,9.73,9.73,9.73,100,2020-06-24 09:52:00,2020-06-24,ZGYH
9.7,9.7,9.7,9.7,7500,2020-06-24 11:43:00,2020-06-24,ZGYH
9.75,9.75,9.75,9.75,360,2020-06-24 11:44:00,2020-06-24,ZGYH
9.72,9.75,9.72,9.72,5838,2020-06-24 15:32:00,2020-06-24,ZGYH
9.72,9.72,9.72,9.72,200,2020-06-24 15:52:00,2020-06-24,ZGYH
9.75,9.75,9.75,9.75,1600,2020-06-25 09:45:00,2020-06-25,ZGYH
9.78,9.78,9.78,9.78,2016,2020-06-25 10:26:00,2020-06-25,ZGYH
9.73,9.73,9.73,9.73,3400,2020-06-25 11:34:00,2020-06-25,ZGYH
9.73,9.75,9.73,9.75,2500,2020-06-25 14:07:00,2020-06-25,ZGYH
9.75,9.75,9.75,9.75,1800,2020-06-25 14:11:00,2020-06-25,ZGYH
9.73,9.73,9.73,9.73,1800,2020-06-25 14:12:00,2020-06-25,ZGYH
