open,high,low,close,volume,datetime,date,ticker
10.21,10.21,10.21,10.21,100,2020-06-03 10:45:00,2020-06-03,JFK
10.21,10.21,10.21,10.21,100,2020-06-03 11:15:00,2020-06-03,JFK
10.21,10.21,10.21,10.21,100,2020-06-03 11:39:00,2020-06-03,JFK
10.05,10.05,10.049,10.049,900,2020-06-03 12:49:00,2020-06-03,JFK
10.1813,10.1813,9.9381,9.9381,200,2020-06-03 12:53:00,2020-06-03,JFK
10.1719,10.1719,10.1719,10.1719,100,2020-06-03 12:54:00,2020-06-03,JFK
9.99,9.99,9.99,9.99,100,2020-06-03 12:56:00,2020-06-03,JFK
10.19,10.19,10.19,10.19,100,2020-06-04 11:05:00,2020-06-04,JFK
10.05,10.05,10.05,10.05,100,2020-06-04 11:06:00,2020-06-04,JFK
10.19,10.19,10.19,10.19,100,2020-06-04 11:07:00,2020-06-04,JFK
10.06,10.06,10.06,10.06,700,2020-06-04 11:10:00,2020-06-04,JFK
10.2,10.2,10.2,10.2,100,2020-06-04 11:16:00,2020-06-04,JFK
10.1,10.1,10.1,10.1,100,2020-06-04 11:17:00,2020-06-04,JFK
10.1,10.1,10.06,10.06,1000,2020-06-04 15:54:00,2020-06-04,JFK
10.21,10.21,10.165,10.165,1100,2020-06-09 09:47:00,2020-06-09,JFK
10.21,10.21,10.21,10.21,500,2020-06-09 11:05:00,2020-06-09,JFK
10.111,10.111,10.111,10.111,500,2020-06-09 11:27:00,2020-06-09,JFK
10.19,10.21,10.1599,10.1599,2300,2020-06-09 12:22:00,2020-06-09,JFK
10.15,10.15,10.15,10.15,300,2020-06-09 12:23:00,2020-06-09,JFK
10.21,10.21,10.21,10.21,1000,2020-06-09 12:32:00,2020-06-09,JFK
10.15,10.15,10.15,10.15,900,2020-06-09 13:26:00,2020-06-09,JFK
10.05,10.05,10.05,10.05,100,2020-06-09 13:27:00,2020-06-09,JFK
10.05,10.05,10.05,10.05,100,2020-06-09 13:28:00,2020-06-09,JFK
10.05,10.05,10.05,10.05,200,2020-06-09 13:29:00,2020-06-09,JFK
9.57,9.57,9.57,9.57,200,2020-06-09 13:35:00,2020-06-09,JFK
9.05,9.05,9.05,9.05,199,2020-06-09 13:38:00,2020-06-09,JFK
9.5,9.5,9.5,9.5,422,2020-06-09 13:42:00,2020-06-09,JFK
9.5,9.5,9.4999,9.4999,1866,2020-06-09 13:43:00,2020-06-09,JFK
9.8999,9.8999,9.8999,9.8999,500,2020-06-09 14:02:00,2020-06-09,JFK
10.14,10.2,10.14,10.19,3155,2020-06-09 14:31:00,2020-06-09,JFK
10.2099,10.2099,10.2099,10.2099,244,2020-06-09 15:54:00,2020-06-09,JFK
10.15,10.15,10.15,10.15,100,2020-06-10 11:36:00,2020-06-10,JFK
9.0,9.0,9.0,9.0,1667,2020-06-10 14:17:00,2020-06-10,JFK
8.99,8.99,8.99,8.99,100,2020-06-10 14:19:00,2020-06-10,JFK
8.99,8.99,8.99,8.99,200,2020-06-10 14:20:00,2020-06-10,JFK
8.75,8.75,8.75,8.75,200,2020-06-10 14:28:00,2020-06-10,JFK
8.5,8.5,8.5,8.5,200,2020-06-10 14:35:00,2020-06-10,JFK
8.5,8.5,8.4999,8.4999,600,2020-06-10 14:48:00,2020-06-10,JFK
8.4999,8.4999,8.4999,8.4999,500,2020-06-10 14:54:00,2020-06-10,JFK
8.5,8.5,8.4975,8.4975,900,2020-06-10 14:55:00,2020-06-10,JFK
8.5,8.5,8.5,8.5,1100,2020-06-10 14:56:00,2020-06-10,JFK
9.75,9.75,9.75,9.75,100,2020-06-10 15:46:00,2020-06-10,JFK
9.7,9.7,9.691,9.691,800,2020-06-10 15:50:00,2020-06-10,JFK
9.7,9.8,9.7,9.8,400,2020-06-10 15:51:00,2020-06-10,JFK
9.8,9.8,9.8,9.8,100,2020-06-10 15:53:00,2020-06-10,JFK
9.78,9.78,9.69,9.69,1900,2020-06-10 15:54:00,2020-06-10,JFK
10.0001,10.0001,10.0,10.0001,700,2020-06-11 09:44:00,2020-06-11,JFK
9.99,9.99,9.99,9.99,2000,2020-06-11 11:25:00,2020-06-11,JFK
9.98,9.98,9.98,9.98,675,2020-06-11 11:30:00,2020-06-11,JFK
9.9801,9.9801,9.9801,9.9801,2300,2020-06-11 11:35:00,2020-06-11,JFK
10.02,10.02,9.98,9.98,979,2020-06-11 12:01:00,2020-06-11,JFK
10.107000000000001,10.107000000000001,10.107000000000001,10.107000000000001,500,2020-06-11 12:20:00,2020-06-11,JFK
11.0,11.0,10.57,10.57,200,2020-06-11 12:35:00,2020-06-11,JFK
10.68,10.75,10.68,10.75,983,2020-06-11 12:54:00,2020-06-11,JFK
9.98,9.98,9.98,9.98,1013,2020-06-11 12:58:00,2020-06-11,JFK
10.365,10.365,10.365,10.365,280,2020-06-11 13:06:00,2020-06-11,JFK
10.1309,10.1309,10.1309,10.1309,290,2020-06-11 13:15:00,2020-06-11,JFK
10.0,10.0,9.98,9.98,2323,2020-06-11 13:24:00,2020-06-11,JFK
9.835,9.835,9.835,9.835,100,2020-06-11 14:27:00,2020-06-11,JFK
9.95,9.95,9.95,9.95,489,2020-06-12 11:21:00,2020-06-12,JFK
9.07,9.07,9.0629,9.0629,200,2020-06-12 11:43:00,2020-06-12,JFK
9.1,9.1,9.09,9.09,429,2020-06-12 13:38:00,2020-06-12,JFK
9.73,9.73,9.73,9.73,100,2020-06-15 11:34:00,2020-06-15,JFK
9.7,10.0,9.7,10.0,200,2020-06-15 11:36:00,2020-06-15,JFK
10.0,10.0,10.0,10.0,200,2020-06-15 11:39:00,2020-06-15,JFK
9.77,9.77,9.77,9.77,200,2020-06-15 15:21:00,2020-06-15,JFK
10.0,10.0,10.0,10.0,100,2020-06-15 15:42:00,2020-06-15,JFK
10.09,10.09,10.09,10.09,238,2020-06-16 09:40:00,2020-06-16,JFK
10.15,10.15,10.135,10.135,200,2020-06-16 11:42:00,2020-06-16,JFK
10.29,10.29,10.29,10.29,100,2020-06-16 11:43:00,2020-06-16,JFK
10.13,10.205,10.12,10.205,6884,2020-06-16 11:46:00,2020-06-16,JFK
10.12,10.12,10.12,10.12,100,2020-06-16 12:17:00,2020-06-16,JFK
10.2,10.2,10.2,10.2,321,2020-06-16 12:54:00,2020-06-16,JFK
10.165,10.1997,10.165,10.1997,400,2020-06-16 15:29:00,2020-06-16,JFK
10.13,10.169,10.13,10.169,900,2020-06-16 15:45:00,2020-06-16,JFK
10.12,10.1605,10.12,10.1605,364,2020-06-17 09:32:00,2020-06-17,JFK
10.12,10.12,10.12,10.12,102,2020-06-17 09:52:00,2020-06-17,JFK
10.29,10.29,10.29,10.29,500,2020-06-17 10:00:00,2020-06-17,JFK
10.2,10.2,10.19,10.2,342,2020-06-17 10:23:00,2020-06-17,JFK
10.2,10.2,10.2,10.2,100,2020-06-17 11:52:00,2020-06-17,JFK
10.19,10.2,10.19,10.19,1984,2020-06-17 13:07:00,2020-06-17,JFK
10.16,10.16,10.16,10.16,100,2020-06-17 13:15:00,2020-06-17,JFK
10.2,10.2,10.2,10.2,500,2020-06-17 13:52:00,2020-06-17,JFK
10.18,10.2,10.18,10.2,600,2020-06-17 14:05:00,2020-06-17,JFK
10.3,10.3,10.3,10.3,200,2020-06-18 09:41:00,2020-06-18,JFK
10.17,10.17,10.17,10.17,175,2020-06-18 13:25:00,2020-06-18,JFK
10.2075,10.2075,10.2075,10.2075,250,2020-06-18 15:08:00,2020-06-18,JFK
10.16,10.16,10.16,10.16,100,2020-06-18 15:34:00,2020-06-18,JFK
10.16,10.2969,10.16,10.2969,274,2020-06-19 10:15:00,2020-06-19,JFK
10.25,10.25,10.25,10.25,1022,2020-06-22 09:30:00,2020-06-22,JFK
10.09,10.09,9.9009,9.9009,717,2020-06-22 09:32:00,2020-06-22,JFK
10.0768,10.0768,10.0768,10.0768,500,2020-06-22 09:39:00,2020-06-22,JFK
10.0644,10.0644,10.0644,10.0644,1000,2020-06-22 10:02:00,2020-06-22,JFK
10.25,10.25,10.25,10.25,100,2020-06-22 13:01:00,2020-06-22,JFK
10.2,10.2,10.2,10.2,500,2020-06-22 15:24:00,2020-06-22,JFK
10.1701,10.1701,10.1701,10.1701,485,2020-06-23 09:34:00,2020-06-23,JFK
10.1,10.28,10.1,10.28,10100,2020-06-23 13:26:00,2020-06-23,JFK
10.14,10.14,10.14,10.14,100,2020-06-24 12:06:00,2020-06-24,JFK
10.1052,10.1052,10.02,10.081,3200,2020-06-25 11:08:00,2020-06-25,JFK
10.1,10.1,10.1,10.1,100,2020-06-25 12:58:00,2020-06-25,JFK
10.1,10.1,10.1,10.1,100,2020-06-26 09:35:00,2020-06-26,JFK
10.23,10.23,10.23,10.23,200,2020-06-29 09:53:00,2020-06-29,JFK
10.11,10.11,10.11,10.11,500,2020-06-29 14:37:00,2020-06-29,JFK
10.25,10.25,10.25,10.25,390,2020-06-29 15:22:00,2020-06-29,JFK
10.25,10.25,10.25,10.25,610,2020-06-29 15:26:00,2020-06-29,JFK
10.11,10.11,10.1,10.1,15383,2020-06-29 15:56:00,2020-06-29,JFK
10.11,10.11,10.11,10.11,1000,2020-06-30 09:30:00,2020-06-30,JFK
10.2597,10.26,10.25,10.26,1000,2020-06-30 09:47:00,2020-06-30,JFK
10.27,10.27,10.26,10.27,4000,2020-06-30 09:49:00,2020-06-30,JFK
10.1824,10.1824,10.1824,10.1824,200,2020-06-30 11:00:00,2020-06-30,JFK
10.148,10.148,10.148,10.148,100,2020-06-30 11:01:00,2020-06-30,JFK
10.2599,10.2599,10.2599,10.2599,300,2020-06-30 11:11:00,2020-06-30,JFK
10.185,10.185,10.185,10.185,200,2020-06-30 11:13:00,2020-06-30,JFK
10.1,10.11,10.1,10.11,3950,2020-06-30 15:39:00,2020-06-30,JFK
10.11,10.11,10.11,10.11,500,2020-06-30 15:56:00,2020-06-30,JFK
10.1884,10.1884,10.1884,10.1884,125,2020-07-01 09:57:00,2020-07-01,JFK
10.2473,10.2473,10.2,10.2,500,2020-07-01 12:25:00,2020-07-01,JFK
10.2,10.2,10.2,10.2,1000,2020-07-01 12:29:00,2020-07-01,JFK
10.2,10.2,10.2,10.2,500,2020-07-01 15:00:00,2020-07-01,JFK
10.11,10.11,10.11,10.11,100,2020-07-02 09:30:00,2020-07-02,JFK
10.2,10.2,10.2,10.2,100,2020-07-02 13:06:00,2020-07-02,JFK
10.16,10.16,10.16,10.16,100,2020-07-02 13:19:00,2020-07-02,JFK
10.17,10.17,10.17,10.17,500,2020-07-02 15:30:00,2020-07-02,JFK
10.15,10.15,10.15,10.15,1000,2020-07-02 15:34:00,2020-07-02,JFK
10.165,10.165,10.15,10.15,300,2020-07-06 09:36:00,2020-07-06,JFK
10.15,10.15,10.15,10.15,400,2020-07-06 09:38:00,2020-07-06,JFK
10.165,10.165,10.165,10.165,300,2020-07-06 09:42:00,2020-07-06,JFK
10.1302,10.165,10.13,10.1301,1700,2020-07-06 09:44:00,2020-07-06,JFK
10.1751,10.1751,10.13,10.131,1900,2020-07-06 09:45:00,2020-07-06,JFK
10.13,10.13,10.13,10.13,300,2020-07-06 09:51:00,2020-07-06,JFK
10.13,10.13,10.13,10.13,3700,2020-07-06 09:57:00,2020-07-06,JFK
10.1537,10.1537,10.1537,10.1537,200,2020-07-06 11:09:00,2020-07-06,JFK
10.13,10.13,10.13,10.13,409,2020-07-06 14:36:00,2020-07-06,JFK
10.25,10.25,10.25,10.25,200,2020-07-07 09:41:00,2020-07-07,JFK
10.2,10.2,10.2,10.2,200,2020-07-08 09:50:00,2020-07-08,JFK
10.13,10.13,10.13,10.13,1500,2020-07-08 10:11:00,2020-07-08,JFK
10.13,10.26,10.01,10.26,2480,2020-07-08 10:14:00,2020-07-08,JFK
10.08,10.08,10.03,10.03,3988,2020-07-08 10:28:00,2020-07-08,JFK
10.15,10.15,10.15,10.15,200,2020-07-08 10:52:00,2020-07-08,JFK
10.1001,10.1001,10.1,10.1,400,2020-07-08 10:55:00,2020-07-08,JFK
10.2,10.3,10.2,10.3,5000,2020-07-10 10:53:00,2020-07-10,JFK
10.3,10.3,10.3,10.3,100,2020-07-10 11:08:00,2020-07-10,JFK
10.2799,10.2799,10.2799,10.2799,100,2020-07-10 11:25:00,2020-07-10,JFK
10.28,10.28,10.28,10.28,200,2020-07-10 11:37:00,2020-07-10,JFK
10.2,10.2,10.2,10.2,250,2020-07-10 11:52:00,2020-07-10,JFK
10.28,10.28,10.28,10.28,300,2020-07-10 12:37:00,2020-07-10,JFK
10.28,10.28,10.27,10.27,200,2020-07-10 12:40:00,2020-07-10,JFK
10.27,10.27,10.27,10.27,220,2020-07-10 14:31:00,2020-07-10,JFK
10.27,10.27,10.27,10.27,100,2020-07-10 14:58:00,2020-07-10,JFK
10.2645,10.2645,10.2645,10.2645,100,2020-07-10 15:11:00,2020-07-10,JFK
10.26,10.2603,10.26,10.2603,300,2020-07-10 15:12:00,2020-07-10,JFK
10.27,10.27,10.219,10.2281,600,2020-07-10 15:19:00,2020-07-10,JFK
10.24,10.24,10.24,10.24,100,2020-07-10 15:36:00,2020-07-10,JFK
10.28,10.28,10.28,10.28,100,2020-07-10 16:24:00,2020-07-10,JFK
10.28,10.28,10.28,10.28,100,2020-07-10 16:25:00,2020-07-10,JFK
10.0,10.0,10.0,10.0,119,2020-07-13 09:14:00,2020-07-13,JFK
10.25,10.25,10.25,10.25,100,2020-07-13 09:38:00,2020-07-13,JFK
10.2723,10.2723,10.2723,10.2723,400,2020-07-13 09:39:00,2020-07-13,JFK
10.23,10.23,10.23,10.23,220,2020-07-13 10:30:00,2020-07-13,JFK
10.23,10.23,10.23,10.23,1500,2020-07-13 10:32:00,2020-07-13,JFK
10.2351,10.2351,10.2351,10.2351,400,2020-07-13 10:38:00,2020-07-13,JFK
10.255,10.255,10.255,10.255,100,2020-07-13 12:26:00,2020-07-13,JFK
