open,high,low,close,volume,datetime,date,ticker,open_t+1,close_t+1,close_t+2,close_t+3,close_t+4,close_t+5,close_t+6,close_t+7,close_t+8,close_t+9,close_t+10,close_t+11,close_t+12
9.7,9.7,9.7,9.7,50000,2020-06-04 01:00:00.000000,2020-06-04,DFPH,9.7,9.7,9.7,9.7,9.75,9.76,9.76,9.76,9.76,9.76,9.98,9.93,9.98
9.81,9.81,9.75,9.75,110300,2020-06-10 01:00:00.000000,2020-06-10,DFPH,9.76,9.76,9.76,9.76,9.76,9.76,9.98,9.93,9.98,10.01,10.17,9.97,9.97
9.76,9.76,9.76,9.76,515,2020-06-11 01:00:00.000000,2020-06-11,DFPH,9.76,9.76,9.76,9.76,9.76,9.98,9.93,9.98,10.01,10.17,9.97,9.97,10.1
9.89,9.98,9.89,9.98,210,2020-06-18 01:00:00.000000,2020-06-18,DFPH,9.89,9.93,9.98,10.01,10.17,9.97,9.97,10.1,10.05,10.6,10.82,10.82,10.8
9.89,9.98,9.8,9.93,2392,2020-06-19 01:00:00.000000,2020-06-19,DFPH,9.98,9.98,10.01,10.17,9.97,9.97,10.1,10.05,10.6,10.82,10.82,10.8,10.78
9.98,9.98,9.9,9.98,21901,2020-06-22 01:00:00.000000,2020-06-22,DFPH,10.0,10.01,10.17,9.97,9.97,10.1,10.05,10.6,10.82,10.82,10.8,10.78,10.54
10.0,10.01,10.0,10.01,2400,2020-06-23 01:00:00.000000,2020-06-23,DFPH,10.79,10.17,9.97,9.97,10.1,10.05,10.6,10.82,10.82,10.8,10.78,10.54,10.8
10.79,10.79,10.16,10.17,435,2020-06-24 01:00:00.000000,2020-06-24,DFPH,9.98,9.97,9.97,10.1,10.05,10.6,10.82,10.82,10.8,10.78,10.54,10.8,10.9
9.98,9.98,9.93,9.97,1911,2020-06-25 01:00:00.000000,2020-06-25,DFPH,9.98,9.97,10.1,10.05,10.6,10.82,10.82,10.8,10.78,10.54,10.8,10.9,10.88
10.0,10.1,10.0,10.1,48677,2020-06-29 01:00:00.000000,2020-06-29,DFPH,10.03,10.05,10.6,10.82,10.82,10.8,10.78,10.54,10.8,10.9,10.88,10.81,10.81
10.03,10.05,10.03,10.05,566,2020-06-30 01:00:00.000000,2020-06-30,DFPH,10.1,10.6,10.82,10.82,10.8,10.78,10.54,10.8,10.9,10.88,10.81,10.81,10.7
10.1,10.75,10.07,10.6,36490,2020-07-01 01:00:00.000000,2020-07-01,DFPH,10.6,10.82,10.82,10.8,10.78,10.54,10.8,10.9,10.88,10.81,10.81,10.7,10.8
10.6,10.9,10.6,10.82,32790,2020-07-02 01:00:00.000000,2020-07-02,DFPH,10.6,10.82,10.8,10.78,10.54,10.8,10.9,10.88,10.81,10.81,10.7,10.8,10.8
10.8,10.83,10.8,10.8,999,2020-07-06 01:00:00.000000,2020-07-06,DFPH,10.8,10.78,10.54,10.8,10.9,10.88,10.81,10.81,10.7,10.8,10.8,10.79,10.79
10.8,10.8,10.7,10.78,1198,2020-07-07 01:00:00.000000,2020-07-07,DFPH,10.75,10.54,10.8,10.9,10.88,10.81,10.81,10.7,10.8,10.8,10.79,10.79,10.5
10.75,10.76,10.5,10.54,5405,2020-07-08 01:00:00.000000,2020-07-08,DFPH,10.68,10.8,10.9,10.88,10.81,10.81,10.7,10.8,10.8,10.79,10.79,10.5,10.49
10.68,10.8,10.68,10.8,19430,2020-07-09 01:00:00.000000,2020-07-09,DFPH,10.72,10.9,10.88,10.81,10.81,10.7,10.8,10.8,10.79,10.79,10.5,10.49,10.49
10.72,10.9,10.72,10.9,8217,2020-07-10 01:00:00.000000,2020-07-10,DFPH,10.82,10.88,10.81,10.81,10.7,10.8,10.8,10.79,10.79,10.5,10.49,10.49,10.39
10.82,10.9,10.81,10.88,18500,2020-07-13 01:00:00.000000,2020-07-13,DFPH,10.81,10.81,10.81,10.7,10.8,10.8,10.79,10.79,10.5,10.49,10.49,10.39,10.39
10.81,10.81,10.81,10.81,1699,2020-07-14 01:00:00.000000,2020-07-14,DFPH,10.81,10.81,10.7,10.8,10.8,10.79,10.79,10.5,10.49,10.49,10.39,10.39,10.31
10.85,10.85,10.7,10.7,417,2020-07-16 01:00:00.000000,2020-07-16,DFPH,10.8,10.8,10.8,10.79,10.79,10.5,10.49,10.49,10.39,10.39,10.31,10.17,10.15
10.8,10.8,10.8,10.8,10011,2020-07-17 01:00:00.000000,2020-07-17,DFPH,10.8,10.8,10.79,10.79,10.5,10.49,10.49,10.39,10.39,10.31,10.17,10.15,10.38
10.86,10.89,10.79,10.79,4829,2020-07-21 01:00:00.000000,2020-07-21,DFPH,10.86,10.79,10.5,10.49,10.49,10.39,10.39,10.31,10.17,10.15,10.38,10.42,10.45
10.65,10.7,10.5,10.5,20722,2020-07-23 01:00:00.000000,2020-07-23,DFPH,10.45,10.49,10.49,10.39,10.39,10.31,10.17,10.15,10.38,10.42,10.45,10.4,10.42
10.45,10.5,10.45,10.49,21850,2020-07-24 01:00:00.000000,2020-07-24,DFPH,10.49,10.49,10.39,10.39,10.31,10.17,10.15,10.38,10.42,10.45,10.4,10.42,10.35
10.49,10.5,10.49,10.49,20208,2020-07-27 01:00:00.000000,2020-07-27,DFPH,10.48,10.39,10.39,10.31,10.17,10.15,10.38,10.42,10.45,10.4,10.42,10.35,10.4
10.48,10.48,10.39,10.39,2192,2020-07-28 01:00:00.000000,2020-07-28,DFPH,10.48,10.39,10.31,10.17,10.15,10.38,10.42,10.45,10.4,10.42,10.35,10.4,10.36
10.35,10.38,10.31,10.31,45112,2020-07-30 01:00:00.000000,2020-07-30,DFPH,10.25,10.17,10.15,10.38,10.42,10.45,10.4,10.42,10.35,10.4,10.36,10.21,10.21
10.25,10.34,10.15,10.17,26750,2020-07-31 01:00:00.000000,2020-07-31,DFPH,10.32,10.15,10.38,10.42,10.45,10.4,10.42,10.35,10.4,10.36,10.21,10.21,10.18
10.32,10.35,10.15,10.15,107099,2020-08-03 01:00:00.000000,2020-08-03,DFPH,10.53,10.38,10.42,10.45,10.4,10.42,10.35,10.4,10.36,10.21,10.21,10.18,10.12
10.53,10.53,10.38,10.38,2700,2020-08-04 01:00:00.000000,2020-08-04,DFPH,10.35,10.42,10.45,10.4,10.42,10.35,10.4,10.36,10.21,10.21,10.18,10.12,10.1
10.35,10.42,10.35,10.42,3800,2020-08-05 01:00:00.000000,2020-08-05,DFPH,10.44,10.45,10.4,10.42,10.35,10.4,10.36,10.21,10.21,10.18,10.12,10.1,10.15
10.44,10.45,10.35,10.45,115800,2020-08-06 01:00:00.000000,2020-08-06,DFPH,10.39,10.4,10.42,10.35,10.4,10.36,10.21,10.21,10.18,10.12,10.1,10.15,10.19
10.39,10.4,10.35,10.4,4702,2020-08-07 01:00:00.000000,2020-08-07,DFPH,10.38,10.42,10.35,10.4,10.36,10.21,10.21,10.18,10.12,10.1,10.15,10.19,10.1
10.38,10.42,10.35,10.42,3995,2020-08-10 01:00:00.000000,2020-08-10,DFPH,10.35,10.35,10.4,10.36,10.21,10.21,10.18,10.12,10.1,10.15,10.19,10.1,
10.35,10.35,10.35,10.35,9900,2020-08-11 01:00:00.000000,2020-08-11,DFPH,10.35,10.4,10.36,10.21,10.21,10.18,10.12,10.1,10.15,10.19,10.1,,
10.35,10.4,10.35,10.4,5400,2020-08-12 01:00:00.000000,2020-08-12,DFPH,10.36,10.36,10.21,10.21,10.18,10.12,10.1,10.15,10.19,10.1,,,
10.36,10.36,10.35,10.36,25100,2020-08-13 01:00:00.000000,2020-08-13,DFPH,10.35,10.21,10.21,10.18,10.12,10.1,10.15,10.19,10.1,,,,
10.35,10.35,10.21,10.21,560,2020-08-14 01:00:00.000000,2020-08-14,DFPH,10.35,10.21,10.18,10.12,10.1,10.15,10.19,10.1,,,,,
10.18,10.18,10.18,10.18,132,2020-08-18 01:00:00.000000,2020-08-18,DFPH,10.17,10.12,10.1,10.15,10.19,10.1,,,,,,,
10.17,10.17,10.11,10.12,14302,2020-08-19 01:00:00.000000,2020-08-19,DFPH,10.13,10.1,10.15,10.19,10.1,,,,,,,,
10.13,10.15,10.05,10.1,215800,2020-08-20 01:00:00.000000,2020-08-20,DFPH,10.1,10.15,10.19,10.1,,,,,,,,,
10.1,10.18,10.05,10.15,208500,2020-08-21 01:00:00.000000,2020-08-21,DFPH,10.1,10.19,10.1,,,,,,,,,,
10.1,10.2,10.09,10.19,56425,2020-08-24 01:00:00.000000,2020-08-24,DFPH,10.14,10.1,,,,,,,,,,,
10.14,10.15,10.1,10.1,18974,2020-08-25 01:00:00.000000,2020-08-25,DFPH,,,,,,,,,,,,,
