open,high,low,close,volume,datetime,date,ticker,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
10.0,10.0,9.8,9.8,49149,2020-07-02 01:00:00.000000,2020-07-02,GIK,9.8,10.0,9.96,10.0,-0.02,0.0,-0.0,0.0
9.95,9.95,9.8,9.8,38732,2020-07-06 01:00:00.000000,2020-07-06,GIK,9.85,9.9,9.94,9.91,-0.01,-0.01,-0.0,-0.0
10.0,10.0,9.79,9.85,32921,2020-07-07 01:00:00.000000,2020-07-07,GIK,10.0,9.96,10.0,9.91,0.0,-0.0,0.0,-0.01
9.9,10.03,9.87,10.0,201456,2020-07-08 01:00:00.000000,2020-07-08,GIK,9.9,9.94,9.91,9.97,0.0,0.0,0.0,0.01
9.95,9.95,9.9,9.9,4001,2020-07-09 01:00:00.000000,2020-07-09,GIK,9.96,10.0,9.91,9.95,0.0,0.01,-0.0,0.0
9.9,9.96,9.88,9.96,13985,2020-07-10 01:00:00.000000,2020-07-10,GIK,9.94,9.91,9.97,9.95,0.0,0.0,0.01,0.01
10.0,10.0,9.94,9.94,7491,2020-07-13 01:00:00.000000,2020-07-13,GIK,10.0,9.91,9.95,9.95,0.0,-0.01,-0.01,-0.01
9.98,10.0,9.89,10.0,5430,2020-07-14 01:00:00.000000,2020-07-14,GIK,9.91,9.97,9.95,9.97,-0.01,-0.0,-0.0,-0.0
9.91,9.91,9.91,9.91,478,2020-07-15 01:00:00.000000,2020-07-15,GIK,9.91,9.95,9.95,9.99,0.0,0.0,0.0,0.01
9.92,9.92,9.91,9.91,556,2020-07-16 01:00:00.000000,2020-07-16,GIK,9.97,9.95,9.97,9.99,0.01,0.0,0.01,0.01
9.91,10.0,9.91,9.97,926,2020-07-17 01:00:00.000000,2020-07-17,GIK,9.95,9.95,9.99,9.95,0.0,0.0,0.01,0.0
9.98,9.98,9.95,9.95,1427,2020-07-20 01:00:00.000000,2020-07-20,GIK,9.95,9.97,9.99,9.96,-0.0,-0.0,0.0,-0.0
10.05,10.05,9.95,9.95,13851,2020-07-21 01:00:00.000000,2020-07-21,GIK,9.95,9.99,9.95,9.96,-0.01,-0.01,-0.01,-0.01
9.98,9.99,9.95,9.95,88580,2020-07-22 01:00:00.000000,2020-07-22,GIK,9.97,9.99,9.96,9.9,-0.0,0.0,-0.0,-0.01
9.95,9.97,9.95,9.97,40000,2020-07-23 01:00:00.000000,2020-07-23,GIK,9.99,9.95,9.96,9.86,0.0,0.0,0.0,-0.01
10.02,10.02,9.98,9.99,1730,2020-07-27 01:00:00.000000,2020-07-27,GIK,9.99,9.96,9.9,9.88,-0.0,-0.01,-0.01,-0.01
9.99,9.99,9.98,9.99,732,2020-07-28 01:00:00.000000,2020-07-28,GIK,9.95,9.96,9.86,9.85,-0.0,-0.0,-0.01,-0.01
9.95,9.95,9.95,9.95,758034,2020-07-29 01:00:00.000000,2020-07-29,GIK,9.96,9.9,9.88,9.86,0.0,-0.01,-0.01,-0.01
9.92,9.96,9.92,9.96,5925,2020-07-30 01:00:00.000000,2020-07-30,GIK,9.96,9.86,9.85,9.87,0.0,-0.01,-0.01,-0.01
9.94,9.97,9.93,9.96,14346,2020-07-31 01:00:00.000000,2020-07-31,GIK,9.9,9.88,9.86,9.9,-0.0,-0.01,-0.01,-0.0
9.99,9.99,9.9,9.9,20613,2020-08-03 01:00:00.000000,2020-08-03,GIK,9.86,9.85,9.87,9.9,-0.01,-0.01,-0.01,-0.01
9.87,9.93,9.86,9.86,5304,2020-08-04 01:00:00.000000,2020-08-04,GIK,9.88,9.86,9.9,9.93,0.0,-0.0,0.0,0.01
9.86,9.88,9.86,9.88,550432,2020-08-06 01:00:00.000000,2020-08-06,GIK,9.85,9.87,9.9,9.95,-0.0,0.0,0.0,0.01
9.87,9.9,9.85,9.85,108405,2020-08-07 01:00:00.000000,2020-08-07,GIK,9.86,9.9,9.93,9.9,-0.0,0.0,0.01,0.0
9.94,9.94,9.86,9.86,1674,2020-08-10 01:00:00.000000,2020-08-10,GIK,9.87,9.9,9.95,9.88,-0.01,-0.0,0.0,-0.01
9.87,9.9,9.87,9.87,157566,2020-08-11 01:00:00.000000,2020-08-11,GIK,9.9,9.93,9.9,9.87,0.0,0.01,0.0,-0.0
9.92,9.92,9.86,9.9,8043,2020-08-12 01:00:00.000000,2020-08-12,GIK,9.9,9.95,9.88,9.82,-0.0,0.0,-0.0,-0.01
9.89,9.9,9.89,9.9,1212013,2020-08-13 01:00:00.000000,2020-08-13,GIK,9.93,9.9,9.87,9.89,0.0,0.0,-0.0,0.0
9.89,9.94,9.88,9.93,88807,2020-08-14 01:00:00.000000,2020-08-14,GIK,9.95,9.88,9.82,,0.01,-0.0,-0.01,
9.95,9.96,9.87,9.95,5134,2020-08-17 01:00:00.000000,2020-08-17,GIK,9.9,9.87,9.89,,-0.01,-0.01,-0.01,
10.01,10.01,9.9,9.9,1543,2020-08-18 01:00:00.000000,2020-08-18,GIK,9.88,9.82,,,-0.01,-0.02,,
9.85,9.88,9.85,9.88,639,2020-08-20 01:00:00.000000,2020-08-20,GIK,9.87,9.89,,,0.0,0.0,,
9.87,9.9,9.85,9.87,135585,2020-08-21 01:00:00.000000,2020-08-21,GIK,9.82,,,,-0.0,,,
9.82,9.82,9.82,9.82,380,2020-08-24 01:00:00.000000,2020-08-24,GIK,9.89,,,,0.01,,,
9.89,9.9,9.85,9.89,3855,2020-08-25 01:00:00.000000,2020-08-25,GIK,,,,,,,,
