open,high,low,close,volume,datetime,date,ticker,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
0.6,0.6,0.6,0.6,1000,2020-06-26 01:00:00.000000,2020-06-26,CGROW,0.6,0.99,1.2,0.85,-0.0,0.65,1.0,0.42
0.6,0.6,0.6,0.6,44728,2020-06-29 01:00:00.000000,2020-06-29,CGROW,0.76,1.2,1.13,0.85,0.27,1.0,0.88,0.42
0.76,0.76,0.76,0.76,316580,2020-06-30 01:00:00.000000,2020-06-30,CGROW,0.99,1.2,0.85,0.9,0.3,0.58,0.12,0.18
0.84,1.0,0.84,0.99,27380,2020-07-01 01:00:00.000000,2020-07-01,CGROW,1.2,1.13,0.85,0.83,0.43,0.35,0.01,-0.01
0.9,1.25,0.9,1.2,25707,2020-07-06 01:00:00.000000,2020-07-06,CGROW,1.2,0.85,0.9,0.8,0.33,-0.06,0.0,-0.11
1.2,1.2,1.2,1.2,4100,2020-07-07 01:00:00.000000,2020-07-07,CGROW,1.13,0.85,0.83,0.86,-0.06,-0.29,-0.31,-0.28
1.15,1.15,1.13,1.13,1100,2020-07-08 01:00:00.000000,2020-07-08,CGROW,0.85,0.9,0.8,0.76,-0.26,-0.22,-0.3,-0.34
0.7,0.9,0.7,0.85,57085,2020-07-10 01:00:00.000000,2020-07-10,CGROW,0.85,0.83,0.86,0.75,0.21,0.19,0.23,0.07
0.88,0.88,0.85,0.85,6012,2020-07-13 01:00:00.000000,2020-07-13,CGROW,0.9,0.8,0.76,0.65,0.03,-0.09,-0.13,-0.26
0.82,0.9,0.7,0.9,20042,2020-07-14 01:00:00.000000,2020-07-14,CGROW,0.83,0.86,0.75,0.65,0.01,0.05,-0.09,-0.21
0.8,0.85,0.8,0.83,1175,2020-07-15 01:00:00.000000,2020-07-15,CGROW,0.8,0.76,0.65,0.65,-0.0,-0.05,-0.19,-0.19
0.86,0.86,0.75,0.8,9294,2020-07-20 01:00:00.000000,2020-07-20,CGROW,0.86,0.75,0.65,0.58,0.0,-0.13,-0.24,-0.33
0.88,0.88,0.86,0.86,780,2020-07-21 01:00:00.000000,2020-07-21,CGROW,0.76,0.65,0.65,0.66,-0.14,-0.26,-0.26,-0.24
0.76,0.76,0.76,0.76,213,2020-07-22 01:00:00.000000,2020-07-22,CGROW,0.75,0.65,0.58,0.55,-0.01,-0.14,-0.24,-0.27
0.7,0.75,0.7,0.75,9506,2020-07-23 01:00:00.000000,2020-07-23,CGROW,0.65,0.65,0.66,,-0.07,-0.07,-0.05,
0.65,0.65,0.65,0.65,1010,2020-07-24 01:00:00.000000,2020-07-24,CGROW,0.65,0.58,0.55,,-0.0,-0.11,-0.15,
0.6,0.65,0.6,0.65,14600,2020-07-27 01:00:00.000000,2020-07-27,CGROW,0.65,0.66,,,0.08,0.11,,
0.65,0.66,0.65,0.65,96296,2020-07-28 01:00:00.000000,2020-07-28,CGROW,0.58,0.55,,,-0.11,-0.15,,
0.6,0.6,0.56,0.58,30339,2020-07-29 01:00:00.000000,2020-07-29,CGROW,0.66,,,,0.11,,,
0.63,0.66,0.63,0.66,2250,2020-07-30 01:00:00.000000,2020-07-30,CGROW,0.55,,,,-0.13,,,
0.56,0.63,0.55,0.55,38070,2020-07-31 01:00:00.000000,2020-07-31,CGROW,,,,,,,,
