open,high,low,close,volume,datetime,date,ticker,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
10.35,10.36,10.15,10.2,20658,2020-07-06 01:00:00.000000,2020-07-06,JWS,10.17,10.11,10.3,10.25,-0.02,-0.02,-0.0,-0.01
10.22,10.27,10.17,10.17,619401,2020-07-07 01:00:00.000000,2020-07-07,JWS,10.1,10.48,10.28,10.35,-0.01,0.03,0.01,0.01
10.22,10.22,10.08,10.1,212625,2020-07-08 01:00:00.000000,2020-07-08,JWS,10.11,10.3,10.25,10.46,-0.01,0.01,0.0,0.02
10.1,10.13,10.05,10.11,920071,2020-07-09 01:00:00.000000,2020-07-09,JWS,10.48,10.28,10.35,10.38,0.04,0.02,0.03,0.03
10.15,10.5,10.09,10.48,981263,2020-07-10 01:00:00.000000,2020-07-10,JWS,10.3,10.25,10.46,10.4,0.01,0.01,0.03,0.03
10.62,10.7,10.25,10.3,119160,2020-07-13 01:00:00.000000,2020-07-13,JWS,10.28,10.35,10.38,10.47,-0.03,-0.03,-0.02,-0.01
10.45,10.5,10.25,10.28,61193,2020-07-14 01:00:00.000000,2020-07-14,JWS,10.25,10.46,10.4,11.18,-0.02,0.0,-0.0,0.07
10.44,10.44,10.09,10.25,1164946,2020-07-15 01:00:00.000000,2020-07-15,JWS,10.35,10.38,10.47,11.35,-0.01,-0.01,0.0,0.09
10.45,10.65,10.2,10.35,528692,2020-07-16 01:00:00.000000,2020-07-16,JWS,10.46,10.4,11.18,11.24,0.0,-0.0,0.07,0.08
10.3,10.5,10.28,10.46,223121,2020-07-17 01:00:00.000000,2020-07-17,JWS,10.38,10.47,11.35,11.23,0.01,0.02,0.1,0.09
10.5,10.52,10.2,10.38,76285,2020-07-20 01:00:00.000000,2020-07-20,JWS,10.4,11.18,11.24,10.94,-0.01,0.06,0.07,0.04
10.43,10.45,10.35,10.4,385320,2020-07-21 01:00:00.000000,2020-07-21,JWS,10.47,11.35,11.23,10.5,0.0,0.09,0.08,0.01
10.4,10.48,10.4,10.47,43830,2020-07-22 01:00:00.000000,2020-07-22,JWS,11.18,11.24,10.94,10.39,0.07,0.08,0.05,-0.0
10.49,11.3,10.49,11.18,1006018,2020-07-23 01:00:00.000000,2020-07-23,JWS,11.35,11.23,10.5,,0.08,0.07,0.0,
11.2,11.4,10.77,11.35,1124353,2020-07-24 01:00:00.000000,2020-07-24,JWS,11.24,10.94,10.39,,0.0,-0.02,-0.07,
11.4,11.5,11.07,11.24,596674,2020-07-27 01:00:00.000000,2020-07-27,JWS,11.23,10.5,,,-0.01,-0.08,,
11.25,11.25,11.0,11.23,479678,2020-07-28 01:00:00.000000,2020-07-28,JWS,10.94,10.39,,,-0.03,-0.08,,
11.35,11.35,10.82,10.94,98557,2020-07-29 01:00:00.000000,2020-07-29,JWS,10.5,,,,-0.07,,,
11.14,11.14,10.35,10.5,172343,2020-07-30 01:00:00.000000,2020-07-30,JWS,10.39,,,,-0.07,,,
10.5,10.58,10.3,10.39,497397,2020-07-31 01:00:00.000000,2020-07-31,JWS,,,,,,,,
