open,high,low,close,volume,datetime,date,ticker,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
9.88,10.0,9.88,9.94,469845,2018-01-02 01:00:00.000000,2018-01-02,SRUN,9.97,9.94,9.94,10.08,0.01,0.01,0.01,0.02
9.92,10.0,9.91,9.97,365229,2018-01-03 01:00:00.000000,2018-01-03,SRUN,9.94,9.97,9.94,10.11,0.0,0.01,0.0,0.02
9.91,10.0,9.91,9.94,1325577,2018-01-04 01:00:00.000000,2018-01-04,SRUN,9.94,9.94,10.08,10.1,0.0,0.0,0.02,0.02
9.97,9.98,9.94,9.94,749178,2018-01-05 01:00:00.000000,2018-01-05,SRUN,9.97,9.94,10.11,10.11,0.0,-0.0,0.01,0.01
9.98,9.98,9.95,9.97,221951,2018-01-08 01:00:00.000000,2018-01-08,SRUN,9.94,10.08,10.1,10.18,-0.0,0.01,0.01,0.02
9.97,9.99,9.92,9.94,800035,2018-01-09 01:00:00.000000,2018-01-09,SRUN,9.94,10.11,10.11,10.18,-0.0,0.01,0.01,0.02
9.97,9.98,9.94,9.94,411577,2018-01-10 01:00:00.000000,2018-01-10,SRUN,10.08,10.1,10.18,10.23,0.01,0.01,0.02,0.03
10.0,10.15,9.95,10.08,4382694,2018-01-11 01:00:00.000000,2018-01-11,SRUN,10.11,10.11,10.18,10.25,0.01,0.01,0.02,0.02
10.12,10.7,10.05,10.11,4444429,2018-01-12 01:00:00.000000,2018-01-12,SRUN,10.1,10.18,10.23,10.33,-0.0,0.01,0.01,0.02
10.1,10.16,10.07,10.1,1654709,2018-01-16 01:00:00.000000,2018-01-16,SRUN,10.11,10.18,10.25,10.55,0.0,0.01,0.01,0.04
10.1,10.12,10.08,10.11,3408211,2018-01-17 01:00:00.000000,2018-01-17,SRUN,10.18,10.23,10.33,10.65,0.01,0.01,0.02,0.05
10.12,10.18,10.11,10.18,3681059,2018-01-18 01:00:00.000000,2018-01-18,SRUN,10.18,10.25,10.55,10.73,0.01,0.01,0.04,0.06
10.17,10.2,10.15,10.18,2650870,2018-01-19 01:00:00.000000,2018-01-19,SRUN,10.23,10.33,10.65,10.5,0.01,0.02,0.05,0.03
10.2,10.25,10.18,10.23,9200782,2018-01-22 01:00:00.000000,2018-01-22,SRUN,10.25,10.55,10.73,10.22,0.0,0.03,0.05,0.0
10.21,10.26,10.19,10.25,8970287,2018-01-23 01:00:00.000000,2018-01-23,SRUN,10.33,10.65,10.5,10.39,0.01,0.04,0.03,0.02
10.28,10.36,10.25,10.33,7630098,2018-01-24 01:00:00.000000,2018-01-24,SRUN,10.55,10.73,10.22,10.17,0.03,0.04,-0.01,-0.01
10.38,10.69,10.35,10.55,8865946,2018-01-25 01:00:00.000000,2018-01-25,SRUN,10.65,10.5,10.39,9.95,0.03,0.01,0.0,-0.04
10.64,10.68,10.45,10.65,3277676,2018-01-26 01:00:00.000000,2018-01-26,SRUN,10.73,10.22,10.17,9.98,0.01,-0.04,-0.04,-0.06
10.75,10.79,10.64,10.73,5426814,2018-01-29 01:00:00.000000,2018-01-29,SRUN,10.5,10.39,9.95,9.91,-0.02,-0.03,-0.07,-0.08
10.7,10.74,10.47,10.5,2543242,2018-01-30 01:00:00.000000,2018-01-30,SRUN,10.22,10.17,9.98,9.46,-0.04,-0.05,-0.07,-0.12
10.6,10.63,10.16,10.22,4877498,2018-01-31 01:00:00.000000,2018-01-31,SRUN,10.39,9.95,9.91,8.94,-0.02,-0.06,-0.07,-0.16
10.25,10.5,10.2,10.39,3948349,2018-02-01 01:00:00.000000,2018-02-01,SRUN,10.17,9.98,9.46,,-0.01,-0.03,-0.08,
10.44,10.45,10.15,10.17,2243582,2018-02-02 01:00:00.000000,2018-02-02,SRUN,9.95,9.91,8.94,,-0.05,-0.05,-0.14,
10.13,10.3,9.94,9.95,2302022,2018-02-05 01:00:00.000000,2018-02-05,SRUN,9.98,9.46,,,-0.01,-0.07,,
9.99,10.19,9.91,9.98,3591552,2018-02-06 01:00:00.000000,2018-02-06,SRUN,9.91,8.94,,,-0.01,-0.11,,
10.05,10.05,9.84,9.91,2618071,2018-02-07 01:00:00.000000,2018-02-07,SRUN,9.46,,,,-0.06,,,
9.96,9.96,9.45,9.46,2563887,2018-02-08 01:00:00.000000,2018-02-08,SRUN,8.94,,,,-0.1,,,
9.54,9.61,8.01,8.94,5024301,2018-02-09 01:00:00.000000,2018-02-09,SRUN,,,,,,,,
