open,high,low,close,volume,datetime,date,ticker,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
0.65,0.68,0.65,0.68,1000,2020-06-18 01:00:00.000000,2020-06-18,CHAQ.WS,0.71,0.67,0.69,0.69,0.09,0.03,0.06,0.06
0.75,0.75,0.71,0.71,1400,2020-06-22 01:00:00.000000,2020-06-22,CHAQ.WS,0.71,0.71,0.57,0.68,-0.05,-0.05,-0.24,-0.09
0.71,0.71,0.71,0.71,4100,2020-06-23 01:00:00.000000,2020-06-23,CHAQ.WS,0.67,0.69,0.69,0.63,-0.06,-0.03,-0.03,-0.11
0.67,0.68,0.67,0.67,720,2020-06-24 01:00:00.000000,2020-06-24,CHAQ.WS,0.71,0.57,0.68,0.65,0.07,-0.14,0.02,-0.02
0.71,0.71,0.71,0.71,2000,2020-06-25 01:00:00.000000,2020-06-25,CHAQ.WS,0.69,0.69,0.63,0.65,-0.03,-0.03,-0.11,-0.08
0.68,0.7,0.68,0.69,440,2020-06-26 01:00:00.000000,2020-06-26,CHAQ.WS,0.57,0.68,0.65,0.65,-0.17,-0.0,-0.05,-0.05
0.71,0.71,0.57,0.57,12610,2020-06-29 01:00:00.000000,2020-06-29,CHAQ.WS,0.69,0.63,0.65,0.81,-0.03,-0.11,-0.08,0.14
0.57,0.7,0.57,0.69,10300,2020-06-30 01:00:00.000000,2020-06-30,CHAQ.WS,0.68,0.65,0.65,0.75,0.19,0.14,0.14,0.31
0.68,0.68,0.68,0.68,300,2020-07-01 01:00:00.000000,2020-07-01,CHAQ.WS,0.63,0.65,0.81,0.65,-0.08,-0.05,0.19,-0.05
0.63,0.63,0.63,0.63,1000,2020-07-02 01:00:00.000000,2020-07-02,CHAQ.WS,0.65,0.65,0.75,0.79,0.03,0.03,0.19,0.25
0.65,0.66,0.65,0.65,26600,2020-07-06 01:00:00.000000,2020-07-06,CHAQ.WS,0.65,0.81,0.65,0.75,0.0,0.25,-0.0,0.15
0.65,1.0,0.65,0.65,122400,2020-07-07 01:00:00.000000,2020-07-07,CHAQ.WS,0.65,0.75,0.79,0.67,-0.0,0.15,0.22,0.03
0.68,0.71,0.65,0.65,3700,2020-07-09 01:00:00.000000,2020-07-09,CHAQ.WS,0.81,0.65,0.75,0.7,0.19,-0.05,0.1,0.03
0.73,1.09,0.73,0.81,160727,2020-07-10 01:00:00.000000,2020-07-10,CHAQ.WS,0.75,0.79,0.67,0.68,0.02,0.08,-0.09,-0.07
0.72,0.81,0.71,0.75,33758,2020-07-13 01:00:00.000000,2020-07-13,CHAQ.WS,0.65,0.75,0.7,0.8,-0.1,0.04,-0.03,0.11
0.73,0.73,0.65,0.65,22924,2020-07-14 01:00:00.000000,2020-07-14,CHAQ.WS,0.79,0.67,0.68,0.7,0.08,-0.08,-0.07,-0.04
0.79,0.79,0.6,0.79,136018,2020-07-15 01:00:00.000000,2020-07-15,CHAQ.WS,0.75,0.7,0.8,0.77,-0.05,-0.11,0.01,-0.03
0.78,0.78,0.65,0.75,7279,2020-07-16 01:00:00.000000,2020-07-16,CHAQ.WS,0.67,0.68,0.7,0.8,-0.14,-0.13,-0.1,0.03
0.79,0.79,0.67,0.67,8500,2020-07-17 01:00:00.000000,2020-07-17,CHAQ.WS,0.7,0.8,0.77,0.8,-0.11,0.01,-0.03,0.01
0.67,0.7,0.67,0.7,36785,2020-07-20 01:00:00.000000,2020-07-20,CHAQ.WS,0.68,0.7,0.8,0.75,0.01,0.04,0.19,0.12
0.72,0.72,0.67,0.68,3900,2020-07-21 01:00:00.000000,2020-07-21,CHAQ.WS,0.8,0.77,0.8,0.72,0.11,0.07,0.11,0.0
0.7,0.95,0.63,0.8,38533,2020-07-22 01:00:00.000000,2020-07-22,CHAQ.WS,0.7,0.8,0.75,0.79,0.0,0.14,0.07,0.13
0.74,0.76,0.7,0.7,5248,2020-07-23 01:00:00.000000,2020-07-23,CHAQ.WS,0.77,0.8,0.72,0.77,0.04,0.08,-0.03,0.04
0.75,0.77,0.74,0.77,41200,2020-07-24 01:00:00.000000,2020-07-24,CHAQ.WS,0.8,0.75,0.79,0.75,0.07,0.0,0.05,0.0
0.8,0.8,0.79,0.8,6725,2020-07-27 01:00:00.000000,2020-07-27,CHAQ.WS,0.8,0.72,0.77,0.65,0.0,-0.1,-0.04,-0.19
0.77,0.8,0.75,0.8,63008,2020-07-28 01:00:00.000000,2020-07-28,CHAQ.WS,0.75,0.79,0.75,0.65,-0.03,0.03,-0.03,-0.16
0.75,0.75,0.75,0.75,600,2020-07-29 01:00:00.000000,2020-07-29,CHAQ.WS,0.72,0.77,0.65,0.65,-0.04,0.03,-0.13,-0.13
0.75,0.75,0.72,0.72,400,2020-07-30 01:00:00.000000,2020-07-30,CHAQ.WS,0.79,0.75,0.65,0.66,0.05,0.0,-0.13,-0.12
0.76,0.79,0.72,0.79,19311,2020-07-31 01:00:00.000000,2020-07-31,CHAQ.WS,0.77,0.65,0.65,0.65,0.01,-0.15,-0.15,-0.15
0.77,0.77,0.77,0.77,1132,2020-08-03 01:00:00.000000,2020-08-03,CHAQ.WS,0.75,0.65,0.66,0.65,-0.03,-0.16,-0.14,-0.16
0.79,0.8,0.75,0.75,13250,2020-08-04 01:00:00.000000,2020-08-04,CHAQ.WS,0.65,0.65,0.65,0.65,-0.18,-0.18,-0.18,-0.18
0.65,0.65,0.65,0.65,13266,2020-08-05 01:00:00.000000,2020-08-05,CHAQ.WS,0.65,0.66,0.65,0.64,0.0,0.02,0.0,-0.02
0.65,0.65,0.65,0.65,3318,2020-08-06 01:00:00.000000,2020-08-06,CHAQ.WS,0.65,0.65,0.65,0.63,-0.0,0.0,0.0,-0.03
0.62,0.65,0.62,0.65,20012,2020-08-10 01:00:00.000000,2020-08-10,CHAQ.WS,0.66,0.65,0.64,0.64,0.06,0.05,0.03,0.03
0.75,0.75,0.66,0.66,454,2020-08-11 01:00:00.000000,2020-08-11,CHAQ.WS,0.65,0.65,0.63,0.65,-0.13,-0.13,-0.16,-0.13
0.63,0.65,0.63,0.65,50757,2020-08-12 01:00:00.000000,2020-08-12,CHAQ.WS,0.65,0.64,0.64,0.62,0.03,0.02,0.02,-0.02
0.65,0.65,0.65,0.65,750,2020-08-13 01:00:00.000000,2020-08-13,CHAQ.WS,0.65,0.63,0.65,0.62,0.0,-0.03,0.0,-0.05
