open,high,low,close,volume,datetime,date,ticker,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
10.07,10.33,10.07,10.2,1441855,2020-06-12 01:00:00.000000,2020-06-12,IPOC,10.33,10.5,10.6,11.08,0.03,0.04,0.05,0.1
10.25,10.5,10.19,10.33,212273,2020-06-15 01:00:00.000000,2020-06-15,IPOC,10.4,10.6,11.02,10.95,0.01,0.03,0.08,0.07
11.36,11.36,10.25,10.4,410310,2020-06-16 01:00:00.000000,2020-06-16,IPOC,10.5,10.6,11.08,10.99,-0.08,-0.07,-0.02,-0.03
10.5,10.6,10.39,10.5,403643,2020-06-17 01:00:00.000000,2020-06-17,IPOC,10.6,11.02,10.95,10.94,0.01,0.05,0.04,0.04
10.4,10.77,10.35,10.6,130440,2020-06-18 01:00:00.000000,2020-06-18,IPOC,10.6,11.08,10.99,11.03,0.02,0.07,0.06,0.06
10.88,10.88,10.44,10.6,1283764,2020-06-19 01:00:00.000000,2020-06-19,IPOC,11.02,10.95,10.94,11.18,0.01,0.01,0.01,0.03
10.94,12.52,10.55,11.02,2315656,2020-06-22 01:00:00.000000,2020-06-22,IPOC,11.08,10.99,11.03,10.96,0.01,0.0,0.01,0.0
11.2,11.5,10.98,11.08,447776,2020-06-23 01:00:00.000000,2020-06-23,IPOC,10.95,10.94,11.18,10.85,-0.02,-0.02,-0.0,-0.03
11.21,11.25,10.6,10.95,365466,2020-06-24 01:00:00.000000,2020-06-24,IPOC,10.99,11.03,10.96,10.94,-0.02,-0.02,-0.02,-0.02
11.22,11.22,10.73,10.99,238812,2020-06-25 01:00:00.000000,2020-06-25,IPOC,10.94,11.18,10.85,10.84,-0.02,-0.0,-0.03,-0.03
11.27,11.27,10.56,10.94,271797,2020-06-26 01:00:00.000000,2020-06-26,IPOC,11.03,10.96,10.94,10.82,-0.02,-0.03,-0.03,-0.04
11.04,11.24,10.78,11.03,193095,2020-06-29 01:00:00.000000,2020-06-29,IPOC,11.18,10.85,10.84,10.99,0.01,-0.02,-0.02,-0.0
11.3,11.35,10.9,11.18,739768,2020-06-30 01:00:00.000000,2020-06-30,IPOC,10.96,10.94,10.82,11.23,-0.03,-0.03,-0.04,-0.01
11.25,11.25,10.89,10.96,348294,2020-07-01 01:00:00.000000,2020-07-01,IPOC,10.85,10.84,10.99,11.1,-0.04,-0.04,-0.02,-0.01
11.25,11.25,10.79,10.85,275581,2020-07-02 01:00:00.000000,2020-07-02,IPOC,10.94,10.82,11.23,10.97,-0.03,-0.04,-0.0,-0.02
11.23,11.23,10.8,10.94,365966,2020-07-06 01:00:00.000000,2020-07-06,IPOC,10.84,10.99,11.1,10.99,-0.03,-0.02,-0.01,-0.02
11.23,11.23,10.7,10.84,286629,2020-07-07 01:00:00.000000,2020-07-07,IPOC,10.82,11.23,10.97,10.95,-0.04,0.0,-0.02,-0.02
